country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","23-06-2026 11:00:00",26.11442,85.39813,NO2,8,13,11
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","23-06-2026 11:00:00",26.11442,85.39813,CO,15,23,19
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","23-06-2026 11:00:00",26.1403345,85.3650192,SO2,5,10,7
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","23-06-2026 11:00:00",26.1209,85.3647,OZONE,12,57,15
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","23-06-2026 11:00:00",25.586562,85.043586,CO,34,50,41
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","23-06-2026 11:00:00",25.586562,85.043586,OZONE,25,32,27
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","23-06-2026 11:00:00",25.592539,85.227158,PM2.5,15,75,37
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","23-06-2026 11:00:00",25.592539,85.227158,SO2,8,10,9
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","23-06-2026 11:00:00",25.592539,85.227158,CO,16,22,20
India,Bihar,Patna,"Muradpur, Patna - BSPCB","23-06-2026 11:00:00",25.619651,85.147382,NH3,4,5,5
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","23-06-2026 11:00:00",30.751462,76.762879,CO,NA,NA,NA
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","23-06-2026 11:00:00",30.751462,76.762879,OZONE,NA,NA,NA
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","23-06-2026 11:00:00",30.719859,76.738637,NH3,13,21,17
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","23-06-2026 11:00:00",21.194815,81.314770,PM2.5,8,23,15
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","23-06-2026 11:00:00",21.185571,81.343175,SO2,9,12,10
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","23-06-2026 11:00:00",21.224231,81.408350,CO,15,129,25
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","23-06-2026 11:00:00",22.08815,82.13737,PM2.5,27,55,41
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","23-06-2026 11:00:00",22.118125,83.140608,PM2.5,16,44,27
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","23-06-2026 11:00:00",22.118125,83.140608,PM10,27,68,41
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","23-06-2026 11:00:00",22.118125,83.140608,NO2,9,21,13
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","23-06-2026 11:00:00",22.118125,83.140608,SO2,1,26,6
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","23-06-2026 11:00:00",22.368195,82.746431,PM2.5,4,27,12
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","23-06-2026 11:00:00",22.368195,82.746431,OZONE,8,9,8
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","23-06-2026 11:00:00",22.348441,82.549611,NO2,9,13,11
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","23-06-2026 11:00:00",22.348441,82.549611,NH3,1,1,1
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","23-06-2026 11:00:00",16.554731,80.649110,PM2.5,44,57,51
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","23-06-2026 11:00:00",27.103358,93.679645,NH3,1,1,1
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","23-06-2026 11:00:00",27.103358,93.679645,CO,2,14,10
